"probe","EntrezGene.ID","coefficient"
"210761_s_at",2886,-1
"212690_at",23259,-1
"208006_at",2299,1
"202986_at",9915,1
"212859_x_at",4493,-1
"205280_at",2743,-1
"221523_s_at",58528,-1
"204160_s_at",22875,1
"221841_s_at",9314,1
"201242_s_at",481,1
"212589_at",22800,-1
"204237_at",51454,-1
"205472_s_at",1602,1
"221558_s_at",51176,1
"203510_at",4233,-1
"213793_s_at",9456,-1
"201340_s_at",8507,1
"206110_at",3109,-1
"205573_s_at",51375,-1
"217966_s_at",116496,1
"203887_s_at",7056,1
"203685_at",596,-1
"208078_s_at",150094,-1
"204017_at",11015,1
"218788_s_at",64754,1
"38241_at",10384,1
"203913_s_at",3248,-1
"205279_s_at",2743,-1
"218613_at",23362,1
"205308_at",51101,-1
"206204_at",2888,1
"209276_s_at",2745,1
"217967_s_at",116496,1
"200607_s_at",5885,-1
"206191_at",956,1
"217478_s_at",3108,1
"201117_s_at",1363,-1
"214519_s_at",6019,-1
"205321_at",1968,-1
"201161_s_at",8531,-1
"201976_s_at",4651,1
"213478_at",23254,1
"202376_at",12,1
"205471_s_at",1602,1
"209016_s_at",3855,1
"213548_s_at",55573,-1
"206825_at",5021,-1
"214774_x_at",27324,1
"217838_s_at",51466,1
"203355_s_at",23362,1
"205668_at",4065,1
"214440_at",9,1
"210372_s_at",7164,1
"214290_s_at",8337,-1
"201641_at",684,1
"220145_at",79884,-1
"1405_i_at",6352,1
"204348_s_at",205,-1
"218280_x_at",8337,-1
"204365_s_at",65055,1
"220177_s_at",64699,1
"217744_s_at",64065,1
"212543_at",202,1
"220147_s_at",58516,-1
"214469_at",3012,-1
"212154_at",6383,-1
"203354_s_at",23362,1
"209292_at",3400,-1
"202708_s_at",8349,-1
"203474_at",10788,1
"212551_at",10486,1
"221521_s_at",51659,-1
"210538_s_at",330,1
"204235_s_at",51454,-1
"210319_x_at",4488,1
"219974_x_at",55862,-1
"214295_at",57235,1
"209522_s_at",1384,1
"212240_s_at",5295,1
"200606_at",1832,1
"202709_at",2331,1
"204916_at",10267,-1
"218541_s_at",56892,-1
"202149_at",4739,1
"209488_s_at",11030,1
