classes	BT549 || Claudin	HBL100 || Claudin	HS578T || Claudin	MDAMB157 || Claudin	MDAMB231 || Claudin	MDAMB435 || Claudin	MDAMB436 || Claudin	SUM159PT || Claudin	SUM1315 || Claudin	600MPE || Others	AU565 || Others	BT20 || Others	BT474 || Others	BT483 || Others	CAMA1 || Others	DU4475 || Others	HCC38 || Others	HCC70 || Others	HCC202 || Others	HCC1007 || Others	HCC1008 || Others	HCC1143 || Others	HCC1187 || Others	HCC1428 || Others	HCC1500 || Others	HCC1569 || Others	HCC1599 || Others	HCC1937 || Others	HCC1954 || Others	HCC2157 || Others	HCC2185 || Others	HCC3153 || Others	LY2 || Others	MCF7 || Others	MDAMB134 || Others	MDAMB175 || Others	MDAMB361 || Others	MDAMB415 || Others	MDAMB453 || Others	MDAMB468 || Others	SKBR3 || Others	SUM44PE || Others	SUM52PE || Others	SUM149PT || Others	SUM185PE || Others	SUM190PT || Others	SUM225CWN || Others	T47D || Others	UACC812 || Others	ZR751 || Others	ZR7530 || Others	ZR75B || Others
Group	Claudin	Claudin	Claudin	Claudin	Claudin	Claudin	Claudin	Claudin	Claudin	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others
9993	-0.643	-0.412	-0.585	-0.636	-1.291	-0.491	-1.132	0.074	-1.933	-0.693	-0.078	-0.231	0.92	-0.723	0.436	-1.098	-0.68	0.051	0.087	-0.078	0.211	-0.276	-0.476	-0.981	-0.119	0.53	0.387	0.366	-0.178	0.01	0.728	0.371	-0.002	-0.067	-0.108	0.866	0.398	-0.038	1.339	-0.279	-0.32	-0.446	-0.154	-1.019	-0.141	0.541	0.938	-0.751	0.954	0.368	0.188	0.996
3880	-11.656	-12.527	-12.041	-11.47	-7.011	-13.365	-14.159	-13.766	-11.957	0.497	0.989	-0.968	1.052	1.894	0.5	-10.334	-1.967	0.519	1.041	0.959	0.087	-0.948	-1.691	1.477	-0.956	-13.958	0.887	-11.824	-13.237	-1.042	1.825	-0.786	-1.516	0.499	1.451	1.273	0.39	0.657	-1.007	0.468	1.241	-0.143	0.006	-2.36	0.737	-0.027	0.316	1.545	1.137	1.016	-1.072	0.283
5159	0.122	1.209	1.065	3.891	0.053	0.344	0.036	0.223	-0.073	0.3	-0.022	-0.084	0.04	-0.097	0.046	0.098	0.504	-0.634	0.525	-0.459	-0.282	0.07	-0.082	0.051	-0.213	0.135	-0.259	-0.455	-0.026	-0.211	-0.175	-0.49	0.884	0.326	-0.215	-0.258	-0.422	-0.221	-0.103	-0.203	1.595	-0.154	-0.19	0.136	-0.062	-0.278	-0.442	-0.426	-0.386	0.107	0.088	-0.5
3775	-3.364	-0.793	-2.099	-3.103	-2.777	-3.397	-1.554	-1.829	-3.078	0.83	-1.447	2.838	-0.82	2.59	-0.142	-2.608	-2.555	-0.271	-0.18	-0.71	0.082	1.038	-0.592	0.719	1.451	-1.313	-0.072	2.115	0.956	0.983	-0.474	0.278	-1.287	-0.318	1.185	0.923	-0.023	-0.13	0.393	0.041	-3.662	1.137	0.62	1.713	1.447	0.962	-0.04	-2.854	-0.546	2.333	-0.169	0.141
7718	-1.799	-2.681	-2.511	-0.612	-3.228	-2.378	-1.697	-1.577	-1.663	-0.411	1.155	4.416	-0.449	-1.154	-0.581	0.08	-1.813	0.152	-0.308	1.607	1.855	-0.092	2.913	-1.383	3.562	-1.829	2.408	1.334	1.152	-2.827	-0.052	2.615	-1.962	-1.847	1.221	-1.063	2.189	0.199	0.196	4.247	0.048	-1.043	-1.075	1.78	-0.844	0.468	0.95	0.284	1.382	0.021	-0.125	-1.273
80742	1.547	-0.162	1.002	0.326	1.609	0.983	0.009	0.459	1.1	-0.852	0.153	1.026	-0.559	-0.23	-0.333	-0.366	0.28	-0.116	-0.582	-0.215	0.535	0.027	1.494	-0.391	-0.436	-0.083	0.482	-0.281	0.645	-0.787	-0.823	0.591	0.266	-0.007	-0.321	-0.558	0.109	0.032	0.534	0.835	0.176	-0.803	0.344	-0.171	-0.54	-0.576	-0.483	-0.139	-0.43	-0.283	-0.519	-0.149
9887	-0.883	-0.616	-0.672	-0.225	-0.892	-1.007	-0.766	-0.683	-1.399	0.101	0.281	0.366	-0.82	0.494	0.144	-0.12	-0.802	0.835	0.381	-0.58	0.214	0.165	0.192	-0.081	0.39	-0.008	0.087	-0.139	-0.538	0.07	-0.573	-0.552	0.041	0.568	-0.155	0.748	-0.15	-0.995	-0.418	0.426	-0.156	0.43	0.171	-0.08	-0.049	-0.031	-0.422	0.138	0.539	0.268	-0.067	0.665
11094	-0.564	-0.29	-0.843	-0.506	-0.853	-0.47	-0.718	-0.805	-0.097	1.036	0.492	-0.382	0.89	0.598	0.006	-0.088	-0.25	-0.474	0.41	0.27	0.187	-0.061	0.249	0.415	-0.887	-0.092	-0.104	-0.498	-0.417	-0.714	-0.09	-0.659	-0.338	0.06	0.851	0.641	0.679	-0.43	0.133	-0.385	0.084	0.465	-0.004	-0.8	1.228	-0.328	0.23	0.343	-0.037	0.2	0.422	0.042
22822	0.073	0.19	3.107	1.619	3.51	2.822	2.545	0	2.639	0.415	-1.027	0.965	-1.004	-1.553	-2.293	1.176	1.273	0.076	-0.896	-0.173	-0.23	0.674	-1.263	-0.346	0.724	-0.227	-0.393	0.84	1.747	-0.391	0.517	-0.344	-0.6	-1.503	-0.942	1.295	-1.407	-0.719	-1.415	0.139	-1.908	-1.349	-1.397	0.599	-1.632	-0.73	0.436	0.628	-1.297	-1.639	0.036	-2.014
1164	1.059	0.88	0.47	1.557	1.182	0.059	2.663	0.918	-0.407	-1.612	-0.743	-0.463	-1.058	-0.586	-0.252	-1.415	-0.463	0.888	-2.349	-1.07	1.265	-1.972	0.504	-2.299	0.203	-0.136	1.153	1.01	-0.25	1.099	-2.046	0.599	-2.658	-0.499	0.135	-0.616	-0.343	-0.072	-2.735	0.635	-1.583	-2.861	-1.53	1.63	-1.842	0.608	-1.173	0.933	-0.338	0.529	-0.046	0.724
55638	-2.425	-1.356	-1.601	0.248	-0.734	-1.638	-2.292	-1.785	-1.973	-0.592	2.385	1.636	1.371	-1.167	1.773	-1.494	0.51	-0.592	0.886	0.292	-1.004	2.326	1.229	-0.054	0.156	-0.705	-0.588	-0.501	-0.192	-0.987	5.609	0.684	-1.218	-0.951	-1.262	1.183	2.241	1.315	-0.144	3.145	2.011	0.701	1.516	-0.148	-0.684	0.015	1.671	-1.094	-1.658	-1.447	5.637	0.398
27315	-0.945	-1.322	-1.422	-0.743	-1.265	-0.219	-0.974	-1.164	-1.544	-0.175	0.568	1.043	-0.998	-0.085	0.451	0.063	-1.735	-0.009	0.628	0.494	1.122	-0.391	-0.127	0.432	-0.796	-0.105	0.502	-0.542	-0.446	-0.117	0.573	-0.119	-1.344	-1.519	0.559	1.106	-1.393	0.549	0.46	-0.692	-0.808	0.778	0.602	0.251	0.178	-0.123	-0.091	0.615	0.047	0.109	-0.261	0.831
9200	6.528	0.648	-0.166	5.026	2.091	2.16	1.937	1.207	1.309	-0.921	-2.878	4.127	-1.877	0.115	0.364	-1.546	1.27	-0.333	-2.911	-1.616	0.297	0.88	-0.564	-1.189	-0.928	3.39	1.437	-0.78	0.417	-0.662	-2.088	2.131	-0.728	0.853	0.557	-1.237	-0.005	-2.34	-2.395	-0.763	-3.996	-1.948	-1.792	0.954	0.344	-0.668	-1.689	0.621	2.762	-2.264	-2.795	-0.547
80004	-2.519	-2.704	-2.487	-2.546	-2.604	-2.629	-3.211	-2.701	-2.912	-0.071	0.59	2.12	1.391	3.302	1.021	-1.395	-3.021	-0.574	1.628	0.252	-0.079	-1.757	-0.277	1.601	-0.424	-2.829	0.537	-0.103	-0.236	-0.24	0.795	-1.355	1.531	1.304	-1.399	1.177	2.713	0.659	2.778	-1.003	1.056	-0.756	-0.047	0.422	1.094	1.107	1.56	1.811	-0.289	1.676	-0.53	1.863
79666	-2.14	-3.739	-2.21	-2.48	-2.122	-3.399	-3.594	-2.227	-3.015	2.034	-2.197	-2.446	3.266	5.063	2.225	-1.044	-2.4	-0.026	-1.165	2.169	0.71	-0.868	-1.025	3.325	-0.096	-0.354	-0.095	2.606	-1.057	1.161	4.917	-0.393	1.948	1.095	2.83	1.189	4.224	-0.734	2.804	-0.25	-3.88	2.143	4.261	-3.646	-0.817	2.241	4.308	2.27	2.302	4.12	-0.455	3.554
55759	0.384	-1.558	0.518	0.655	1.53	1.06	1.374	1.754	0.692	-2.336	0.071	1.328	-0.872	-0.462	-0.847	-0.771	-0.027	-0.277	-1.233	-0.873	0.626	-1.431	0.787	-0.571	0.471	0.653	0.575	0.174	0.188	0.338	-0.703	-0.996	0.663	-0.134	0.559	-2.203	-1.282	-0.943	0.217	0.314	0.094	-1.107	-0.648	0.417	-1.22	-0.089	-0.925	-0.734	-1.342	-1.031	-1.233	-0.223
