classes	BT549 || Claudin	HBL100 || Claudin	HS578T || Claudin	MDAMB157 || Claudin	MDAMB231 || Claudin	MDAMB435 || Claudin	MDAMB436 || Claudin	SUM159PT || Claudin	SUM1315 || Claudin	600MPE || Others	AU565 || Others	BT20 || Others	BT474 || Others	BT483 || Others	CAMA1 || Others	DU4475 || Others	HCC38 || Others	HCC70 || Others	HCC202 || Others	HCC1007 || Others	HCC1008 || Others	HCC1143 || Others	HCC1187 || Others	HCC1428 || Others	HCC1500 || Others	HCC1569 || Others	HCC1599 || Others	HCC1937 || Others	HCC1954 || Others	HCC2157 || Others	HCC2185 || Others	HCC3153 || Others	LY2 || Others	MCF7 || Others	MDAMB134 || Others	MDAMB175 || Others	MDAMB361 || Others	MDAMB415 || Others	MDAMB453 || Others	MDAMB468 || Others	SKBR3 || Others	SUM44PE || Others	SUM52PE || Others	SUM149PT || Others	SUM185PE || Others	SUM190PT || Others	SUM225CWN || Others	T47D || Others	UACC812 || Others	ZR751 || Others	ZR7530 || Others	ZR75B || Others
Group	Claudin	Claudin	Claudin	Claudin	Claudin	Claudin	Claudin	Claudin	Claudin	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others
3074	1.775	0.512	0.155	1.362	-0.349	1.113	0.954	0.64	0.801	0.011	0.259	-0.254	-2.306	-0.954	-0.193	-0.124	-1.13	0.322	-1.665	0.277	-1.348	-1.358	-1.337	-2.568	-0.43	-0.085	-1.059	0.25	0.67	-1.201	-1.097	-0.626	-0.693	-0.182	-0.164	-0.107	0.039	-0.07	-1.102	-0.382	-0.93	1.078	-0.745	-0.205	2.007	0.421	0.843	0.416	0.71	-0.562	1.56	-0.038
8850	1.193	0.712	1.725	1.243	2.636	5.666	0.528	0.994	-0.395	-0.539	-0.153	-0.144	-0.994	-0.43	-0.114	0.914	-0.093	0.455	-0.22	-0.218	-1.138	-0.514	-0.866	-0.105	-0.67	0.942	-1.056	0.407	-0.987	-1.443	0.805	-0.757	0.487	1.846	-0.09	0.059	-0.365	0.489	-0.227	-0.937	0.651	2.146	-0.482	-1.088	0.486	-0.441	0.528	1.327	0.557	0.671	-0.817	1.059
5873	0.455	-0.253	0.562	1.613	1.46	4.743	2.558	1.221	-0.416	-0.736	0.361	-0.086	-2.361	-2.107	0.43	-0.82	-0.391	1.541	-0.12	-0.966	-0.44	-0.027	-0.371	-0.058	-0.605	0.809	-0.007	-0.048	0.748	2.397	-0.733	-0.342	0.108	-0.264	-0.773	0.345	-1.475	3.169	0.688	0.396	-0.06	-0.59	-0.522	-0.68	-0.647	1.808	-0.717	0.383	-0.113	-0.796	-0.955	-0.295
89927	-0.187	0.859	3.592	2.889	1.026	0.678	1.635	-0.149	5.44	0.064	1.087	-0.025	-0.528	-0.135	-0.519	0.063	1.885	-0.059	-0.282	-0.206	-0.112	0.08	-0.591	0.025	-0.083	-0.107	-0.588	-0.468	-0.31	-0.668	-0.323	-0.613	-0.399	2.631	-0.495	0.238	-0.099	-0.568	0.061	-1.033	0.021	-0.071	0.106	-0.581	-0.607	-0.314	-0.881	-0.162	4.378	1.519	1.014	0.005
79956	-1.764	-2.579	-1.644	-2.007	-1.9	-1.563	-0.582	-1.311	-2.01	-0.184	0.756	0.355	-1.861	-0.035	1.104	0.56	-0.718	0.706	0.618	1.239	-0.266	-1.531	-1.05	-1.278	-1.679	-1.322	-0.872	0.39	2.05	0.651	-1.469	-0.185	-0.973	0.43	0.513	2.067	-0.472	1.95	0.02	-1.289	0.91	0.097	1.168	0.65	1.943	0.458	1.537	0.598	1.424	2.269	0.874	-0.169
23603	1.54	0.673	1.908	1.181	2.733	1.906	0.512	1.72	2.721	-2.083	-2.387	1.532	-1.366	-0.922	-0.235	-0.553	0.21	0.331	-0.634	-1.064	-0.524	-0.914	-0.41	-1.403	3.469	0.148	-0.679	0.152	2.132	1.065	-0.025	1.252	0.637	1.194	-0.09	-2.197	-0.6	-1.003	-1.151	0.019	-3.733	0.004	-0.966	0.818	-1.904	-0.116	-0.399	-0.809	-0.168	-3.23	-1.268	-1.016
638	-1.632	-0.351	-0.228	-0.913	-1.579	-0.634	-0.528	-0.889	-0.794	0.309	-0.093	-1.045	1.44	1.238	0.799	1.032	-0.65	-0.861	1.076	0.387	-1.107	0.497	-0.915	-0.424	0.407	-0.454	-0.78	-0.2	-0.1	-0.074	0.033	1.018	-0.113	-0.467	0.093	0.929	0.916	0.454	1.773	0.826	0.412	2.095	-0.147	0.957	2.683	0.897	1.081	-0.977	-0.38	0.68	0.042	-0.545
64844	-1.285	-1.738	-1.283	-4.562	-0.015	-1.812	-1.055	-0.825	-0.964	0.071	-1.218	0.353	1.108	-0.06	-0.058	-1.11	-0.197	0.016	-2.466	0.266	0.233	-0.299	-0.363	0.601	0.024	-0.731	-0.224	0.645	0.244	-0.536	0.788	-1.614	-0.728	0.069	0.139	-1.351	0.671	-1.605	0.735	0.466	-1.652	0.494	0.802	-0.611	-2.091	0.385	0.836	-0.531	0.003	1.777	-0.256	-0.141
661	2.207	0.055	1.661	0.132	0.394	0.86	-0.028	0.979	1.479	-0.029	-0.329	0.944	-0.941	-0.7	0.074	-0.234	-0.116	-0.542	-0.248	0.089	-0.445	-0.049	1.757	-0.946	-0.102	-0.03	-0.413	-0.772	-0.262	0.364	-0.017	-0.144	1.774	-0.074	-0.335	-0.006	-0.894	-0.86	-0.494	-0.549	0.117	-0.245	-0.693	0.424	1.669	-0.329	-0.854	-0.401	-0.086	-0.113	-0.248	0.924
79821	0.958	0.071	0.848	-0.194	2.271	0.517	0.464	0.708	-0.028	0.291	-0.282	0.716	-0.587	-0.074	-0.53	0.07	0.276	-0.843	-0.144	-0.61	-0.627	-0.068	-0.215	-0.328	-0.446	0.173	-0.454	-0.11	0.193	0.429	-0.136	-0.059	0.333	0.391	-0.695	0.028	-0.271	-0.132	-0.578	-0.203	0.438	-0.307	-0.25	-0.087	-0.355	0.202	-1.046	0.029	-0.413	-0.003	-0.386	-0.328
6274	0.051	3.169	1.264	4.976	0.427	0.562	0.793	0.423	0.144	-0.088	0.754	-0.565	-0.66	-0.718	-0.67	-0.047	0.421	-0.388	-0.388	0.005	-0.301	0.555	1.97	-0.135	-0.168	-0.052	0.114	-0.022	0.114	0.097	-0.203	0.48	-0.13	-0.64	-0.438	0.572	-0.424	-0.436	-0.397	2.241	0.995	-0.519	-0.304	1.123	-0.283	0.258	-0.668	-0.179	-0.326	-0.391	-0.338	-0.531
4953	1.318	1.603	2.921	-0.657	2.987	1.848	2.581	4.606	1.28	-2.999	1.708	0.788	-0.856	-3.509	-0.643	3.684	-1.667	-0.981	-0.949	0.684	-0.531	-0.306	0.463	-2.654	1.874	1.803	0.201	-0.436	1.765	1.247	4.041	0.19	2.818	-0.195	-1.531	-5.729	-0.839	-0.723	-0.17	-0.001	0.08	-3.743	3.137	1.673	-0.281	-0.364	-0.554	-0.363	-1.881	-5.036	-2.983	-0.767
5349	-4.064	-3.573	-3.65	-4.2	-3.945	-3.146	-3.433	-3.902	-3.849	2.137	0.341	-2.684	-0.223	-0.31	-0.382	-2.925	-3.942	0.888	1.733	0.157	1.608	0.23	-4.07	-0.376	0.38	-3.303	1.129	1.684	0.246	-0.235	-0.828	0.775	-3.266	-0.093	0	2.927	1.333	1.88	1.089	1.105	0.314	0.063	0.816	-1.885	-0.144	-0.139	0.632	-1.844	1.424	0.141	1.652	-0.085
10256	-1.294	-0.648	-0.756	-0.909	-1.126	-1.433	-0.864	-1.45	-0.039	0.845	0.565	-0.53	-0.971	-0.342	0.176	-0.25	-0.659	0.928	-0.634	-0.173	0.012	0.682	-0.473	1.26	0.316	-0.202	0.258	0.457	-0.565	-0.493	-1.043	-0.611	-1.879	0.175	0.295	-0.316	-0.146	0.286	-0.313	0.79	-0.656	0.14	1.157	0.341	1.027	0.529	0.25	0.548	0.085	0.406	-0.411	0.759
1944	-0.327	-0.501	-0.633	-1.269	-1.202	-0.324	-0.983	-1.616	-0.791	-0.314	0.628	-0.554	0.942	1.12	-0.274	0.188	-0.914	0.771	1.617	-0.606	2.099	1.438	1.203	1.722	-0.262	1.521	1.654	-0.296	-1.034	1.279	0.95	0.305	0.085	-0.428	-1.086	-0.991	0.414	-1.437	-0.139	-1.2	1.444	0.283	-0.627	-0.954	1.979	0.82	0.037	1.254	0.972	2.674	-0.465	1.289
56672	0.801	2.278	0.51	0.958	0.33	1.093	-0.492	0.941	0.554	-0.181	-0.675	0.954	-0.664	-0.203	0.287	0.764	-0.639	-0.944	-0.11	0.419	-0.632	0.208	-0.051	-0.019	1.302	-0.374	-0.239	0.057	0.654	-0.097	-0.884	-0.039	-1.202	-0.415	0.943	0.506	-0.486	0.019	-0.074	0.424	0.284	-0.272	-0.443	-0.226	-1.3	-0.478	-1.058	-0.403	-0.716	-0.216	-0.571	1.402
58472	-5.042	-1.578	-3.95	-1.255	-1.392	-5.289	1.758	-0.044	-2.916	0.104	-0.074	0.61	-0.763	0.319	2.046	-3.179	-1.924	-0.358	0.656	-0.991	-0.793	-0.633	-2.808	-1.944	1.939	-2.157	-1.322	0.323	0.705	-1.286	-0.645	1.013	-2.749	-2.849	0.067	0.895	-1.966	1	3.535	1.623	-1.764	2.88	0.795	1.71	-3.074	2.093	0.639	1.679	0.559	-1.344	0.799	-0.143
1001	-3.054	-3.036	-4.558	-4.136	-3.654	-4.308	-3.4	-3.301	1.823	-1.003	-4.075	3.333	-0.249	-2.833	-4.453	0.352	0.021	3.955	1.802	-0.987	1.901	1.873	-1.92	-1.259	1.988	-0.857	2.334	1.977	2.741	2.529	-4.239	3.976	-1.04	0.419	-3.7	0.637	1.658	0.09	-3.859	-0.084	-5.374	-0.296	-0.3	4.066	2.884	2.484	2.579	-0.149	1.33	2.325	-0.11	0.365
23507	-1.053	-1.308	-1.085	-1.349	0.264	-1.433	-0.636	-0.259	-0.286	0.219	1.124	-0.354	0.91	-0.124	-0.468	-0.309	-0.295	1.352	-0.376	0.691	1.776	0.121	0.217	-0.361	-0.08	-0.493	1.83	0.476	-0.345	0.778	0.174	0.97	0.134	-0.739	0.038	-0.413	-0.312	0.276	-0.26	0.483	0.316	-0.767	0.618	-0.382	0.293	-0.141	0.614	-0.593	0.173	-0.046	0.503	0.523
128	1.693	-0.591	0.597	0.928	0.123	1.059	0.574	0.916	0.442	-0.914	-1.096	-2.867	0.234	0.387	0.436	-0.985	0.03	-0.518	-0.631	0.322	-0.589	-1.902	0.69	-0.232	0.396	1.034	-0.53	0.116	0.026	-0.627	0.07	-0.234	-0.88	-0.663	0.286	-1.899	0.754	-3.356	0.121	-0.22	-0.302	-0.095	-1.114	0.132	-1.827	-1.348	0.031	-0.179	-0.445	-1.173	-1.206	0.024
5223	1.399	0.922	-0.207	-0.138	1.614	0.991	0.443	0.818	0.472	-0.746	-0.754	-0.838	0.109	0.596	-0.223	-0.557	-0.145	-0.316	0.643	0.305	-0.103	-1.487	-0.983	0.06	1.046	-0.396	-0.246	-1.616	0.298	-0.472	-1.212	0.591	0.641	0.233	-0.062	-0.346	0.102	-0.221	0.491	-1.092	-1.186	-1.783	-0.175	0.208	-0.348	0.044	-0.56	0.919	0.95	0.669	-0.557	-0.447
79779	0.184	2.212	3.125	2.067	0.259	2.443	0.476	1.168	0.17	-0.68	-1.14	0.332	-0.878	-0.496	-0.163	1.488	1.079	0.347	-2.172	1.547	-2.309	0.337	-2.148	-0.275	-0.11	-2.34	-0.657	-0.501	0.553	0.063	-0.687	0.756	-1.61	-0.817	-0.922	-2.635	-0.628	0.375	-2.058	0.492	-0.826	-0.199	1.583	1.44	-0.726	3.531	1.401	-0.105	-1.577	-1.159	0.2	-3.14
11187	-2.654	-1.846	-1.057	-1.616	-2.181	-1.881	-1.421	-1.474	-1.733	-1.016	1.994	0.876	-0.047	-0.203	0.206	-0.371	-2.145	-0.158	0.598	-0.362	0.02	-0.376	-0.018	0.312	0.096	-0.784	0.715	0.076	0.932	1.32	0.344	-1.497	0.481	0.263	-0.215	1.815	-0.797	-0.036	1.027	-0.645	0.965	0.468	-0.174	-0.572	-1.085	0.269	0.281	0.207	0.715	-1.34	-0.079	-0.461
23194	0.206	1.428	0.983	2.79	-0.559	2.766	0.735	0.178	2.11	-0.173	0.546	-0.392	2.603	0.348	0.078	-0.166	-0.739	-0.749	0.895	-0.189	-0.253	0.088	0.115	-0.162	-0.705	0.201	-0.975	-0.56	-0.265	0.109	-0.714	-0.278	-0.01	0.067	0.292	0.169	-0.308	-0.332	0.006	-0.744	1.013	-0.098	-0.8	-0.401	0.429	-0.48	-0.553	0.054	-0.752	0.057	0.088	-0.459
9914	-1.813	-1.788	-1.963	-1.815	-2.3	-2.238	-1.748	-2.383	-1.483	0.766	0.59	-1.272	1.745	0.473	0.991	1.732	-2.086	0.027	1.19	-0.02	-0.29	-0.794	-1.452	0.533	-0.575	-2.409	-0.166	0.252	-1.597	-0.192	1.473	0.301	0.483	-0.462	-1.489	1.424	0.78	2.902	0.137	0.541	1.591	-0.116	0.247	-0.673	2.816	3.735	2.645	-0.579	0.378	2.038	0.324	-0.962
4856	-0.066	-0.058	4.131	4.751	1.071	6.071	1.79	0.267	0.682	1.894	-0.073	-0.342	-0.192	-0.312	0.244	0.736	0.242	-0.253	0.126	5.007	-0.076	1.08	-0.168	-0.332	-0.356	0.036	-0.092	0.816	0.061	0.074	-0.038	-0.136	0.219	0.144	-0.241	-0.336	-0.246	-0.384	-0.176	-0.164	-0.253	-0.073	-0.659	0.108	-0.404	-0.081	-0.147	-0.319	-0.443	-0.447	3.123	-0.476
23597	2.1	0.957	-1.218	2.858	2.229	1.877	2.044	1.058	0.133	-0.866	-0.417	0.462	0.097	-2.365	-1.412	-1.487	-0.464	0.904	-1.424	-1.038	-0.757	-1.849	-1.766	-0.93	0.517	-3.008	-0.505	-1.211	1.926	-0.112	0.293	2.224	-1.612	-2.208	-1.884	-1.265	0.035	0.752	-1.343	0.259	-1.617	0.041	3.011	0.468	-0.758	0.874	0.428	-0.283	0.228	-2.876	-0.037	-3.508
27230	-0.243	-1.703	-0.903	-1.279	-0.683	-0.039	-2.679	-0.535	-0.903	-0.113	-0.235	-1.321	1.877	-0.274	-0.139	-0.878	0.601	0.485	-2.26	3.08	0.673	0.34	-0.719	1.65	0.892	-0.861	0.505	2.025	-0.894	0.716	1.575	-0.545	0.27	0.224	-0.621	-0.169	1.307	0.974	-0.473	0.01	-0.147	-0.13	2.54	-0.231	0.489	1.319	0.918	0.644	0.97	1.564	-0.676	1.4
563	-2.401	-1.715	-2.009	-3.652	-2.237	-0.914	-2.807	-2.861	-2.251	10.394	7.48	-2.502	-2.023	-0.124	-1.097	-1.362	-2.241	6.933	8.528	5.925	8.66	7.281	-1.101	-2.873	-2.553	3.846	7.616	4.007	2.741	9.207	2.205	6.583	-1.859	-3.532	-2.567	4.299	1.908	7.773	7.795	7.242	0.651	5.73	-2.432	-2.743	-1.886	9.461	6.42	-0.07	3.397	6.321	6.077	-0.965
7164	-4.558	-6.023	-5.173	-5.337	-5.312	0.779	-4.66	-3.914	-4.721	-0.627	0.867	1.315	-0.182	0.546	-2.067	-1.686	-2.839	1.331	-2.756	0.164	-0.119	-0.192	-0.976	2.149	-1.253	-1.794	-0.256	2.168	-0.009	-0.6	-0.722	0.198	1.924	2.069	0.775	-1.192	2.311	3.898	-2.207	1.756	1.036	1.632	2.966	-1.247	0.326	0.78	1.617	-0.057	0.551	-0.604	0.745	0.461
10981	2.632	0.369	0.718	2.247	1.523	2.47	3.724	2.14	2.165	-0.99	-0.992	0.434	-0.409	-0.931	-0.453	0.358	0.567	-1.669	-1.016	0.073	-0.297	-0.024	-0.355	-0.396	0.857	1.484	-0.004	-0.78	1.65	-1.964	-0.729	-0.479	-1.348	0.043	1.511	-1.09	-1.878	-0.167	-2.053	-1.668	-1.302	-1.062	0.658	0.696	-0.212	-0.663	-0.378	0.366	1.347	-1.049	-0.129	0.213
222	-2.107	-2.675	-1.87	-1.745	-2.86	-2.093	-2.605	-2.395	-2.561	-0.334	1.748	-1.614	6.054	0.636	2.095	-1.016	-2.671	-2.42	3.019	0.003	0.201	-0.931	0.541	1.912	-2.302	0.108	-0.995	0.285	-2.362	-1.976	4.96	-0.827	-1.462	-0.968	6.173	1.126	4.83	0.947	2.638	2.395	-0.127	3.713	2.194	-1.844	0.067	-1.335	4.442	1.028	2.836	3.877	2.324	2.954
3995	-0.335	0.923	0.761	0.647	0.898	0.326	2.438	2.179	-0.365	-0.813	-0.196	0.899	-0.423	0.469	-0.308	-0.569	-0.013	-1.053	0.096	-0.071	-0.929	-0.379	0.135	-0.33	0.746	0.366	-0.716	0.185	0.172	0.031	-0.737	1.184	-0.531	0.058	1.258	-1.857	-0.593	-1.055	-1.188	0.642	-0.162	-0.197	-0.402	0.233	-0.665	-0.12	-0.138	0.012	0.057	-1.357	-0.719	0.574
10265	-1.258	-3.834	-3.011	-3.332	-3.191	-1.822	-3.418	-4.732	-0.01	0.274	-1.928	-4.012	0.386	2.22	4.581	-2.502	-4.254	0.402	1.114	-0.75	0.276	-1.424	1.511	3.077	-3.989	0.476	-0.516	1.186	-1.216	0.794	-1.055	-0.704	-2.143	-0.164	2.675	0.881	1.089	0.498	3.044	1.009	-2.583	3.584	-0.666	-2.51	1.302	1.432	1.505	0.636	-0.878	2.236	1.175	2.489
54812	-1.039	-0.215	-0.373	-0.314	-0.541	-0.407	-0.324	-0.706	-0.686	0.241	-0.109	0.141	-0.017	0.148	0.027	0.22	-0.163	0.009	0.361	0.328	0.669	0.561	0.36	-0.061	-0.014	0.087	0.399	-0.353	-0.396	-0.258	-0.235	-0.309	0.689	-0.363	-0.18	0.212	0.045	0.189	-0.234	-0.136	0.361	0.216	0.49	-0.127	0.405	-0.356	-0.325	-0.235	-0.192	0.391	0.021	-0.134
23587	4.058	2.686	0.329	1.58	0.99	3.652	4.189	-0.486	0.572	-1.19	-1.445	-0.189	-0.886	0.378	-1.026	-0.126	0.667	-0.975	2.025	-1.668	-0.862	-0.379	-0.843	-1.197	0.762	0.847	-0.731	3.192	1.938	-0.55	-1.159	-0.029	1.103	1.672	-1.204	-1.224	1.838	1.903	-1.802	-1.13	-1.969	1.219	0.051	-0.678	0.785	-1.62	-1.146	-0.254	0.789	-1.684	1.264	-2.156
158	0.606	0.984	1.462	0.808	2.597	1.594	0.167	1.722	0.57	-2.049	-0.852	0.005	-1.331	-1.278	-0.118	-1.573	-0.816	-0.402	0.187	-0.071	0.245	-0.956	-1.034	-1.581	0.374	0.338	0.659	-0.829	-1.368	-0.552	-0.796	0.486	-0.393	-1.773	0.267	-0.666	-1.38	-0.146	1.3	0.28	-1.318	-0.677	0.201	0.456	0.879	-0.202	0.384	-0.367	-1.37	-0.786	-0.442	0.227
6415	-0.523	-1.937	0.056	-3.892	-1.021	-0.362	-1.365	-1.319	-4.708	-0.093	-0.051	0.752	1.045	-0.119	0.104	-0.946	0.076	0.066	0.248	-0.77	-2.007	0.999	-0.951	-0.048	-1.814	-0.043	-2.044	-0.901	-0.824	-1.058	1.411	-0.187	-1.498	-0.242	0.545	1.299	0.065	0.183	1.433	0.501	0.194	2.811	1.905	-1.226	-0.839	1.29	0.776	-0.064	1.489	-0.16	3.112	0.079
55135	1.149	0.927	0.951	0.652	1.769	0.31	1.665	0.486	0.197	-0.402	-0.115	0.769	-0.943	-0.552	-0.105	-0.272	-0.541	-0.526	0.869	-0.578	-0.259	0.447	-0.465	0.132	0.746	0.32	-0.271	-0.063	0.969	-0.515	-0.425	-0.029	-0.211	0.315	-0.088	-0.445	-0.804	-0.101	-0.176	-0.128	0.084	-0.555	-0.031	0.548	-0.182	-0.41	-0.743	0.332	-0.526	-1.113	-0.672	-0.233
2180	-2.684	-3.989	-3.337	-1.964	-1.603	0.053	-0.495	-0.115	-3.524	-1.835	2.378	-0.008	3.533	-1.274	0.748	-0.184	0.014	2.817	-0.391	-0.647	2.399	1.822	-1.702	-1.257	-1.102	2.16	2.741	2.31	-1.302	4.404	-0.228	-2.637	-3.872	-1.786	-0.774	0.371	1.197	1.615	3.359	1.15	0.058	1.169	3.034	0.922	-0.87	2.324	3.559	-1.115	2.121	-2.016	4.464	-2.21
25840	-2.079	-0.61	-1.628	-0.189	-2.416	-2.172	-2.498	-0.784	-2.569	0.035	-0.054	-0.766	0.647	1.465	-0.18	-1.639	-0.279	-0.267	0.65	1.346	1.678	0.606	-0.372	1.945	-1.735	-0.176	1.123	1.25	-2.924	2.527	0.327	2.385	-1.887	-1.197	1.277	0.466	2.432	0.884	0.97	-1.094	1.936	0.014	0.775	-2.132	-1.797	-0.32	2.103	1.977	-0.532	1.006	0.422	-0.434
2125	-0.97	-1.249	-1.436	-1.208	0.055	-0.914	-0.482	-1.252	-0.782	0.587	0.739	-0.059	-0.103	0.037	-0.097	-0.936	-0.298	-0.352	0.836	-0.268	0.343	0.379	0.241	0.294	0.242	-0.502	0.646	-0.513	-0.637	0.452	-0.316	-0.125	0.093	0.419	-0.808	0.453	0.477	-0.589	0.559	0.191	0.873	-0.329	-0.429	-1.625	-0.008	0.212	0.393	1.817	0.908	-0.471	-0.409	0.264
54912	0.938	-0.096	1.089	2.521	0.612	-0.09	1.182	1.368	3.026	-0.554	-2.503	0.468	-0.53	0.128	-0.922	1.96	0.465	-0.445	-1.685	-1.198	0.436	-0.378	2.669	-0.545	0.259	-0.346	0.803	-0.444	-1.325	0.343	-0.853	-0.195	0.006	-1.087	0.447	-1.762	-0.292	-2.385	-2.213	-0.022	-2.839	1.469	-0.388	1.454	-0.005	1.124	0.141	-0.914	-0.61	-1.93	-1.593	0.891
5777	-1.497	-1.016	-0.919	-1.472	-1.545	-0.492	-1.438	-2.344	-1.041	0.009	0.61	0.776	-0.027	1.295	-0.545	-0.002	-0.545	1.055	0.554	-0.529	-0.587	0.114	0.622	0.443	-0.4	-0.14	-0.845	-0.077	-0.522	-0.827	-0.034	-0.132	-1.186	0.782	0.596	0.302	1.322	-0.775	0.194	-0.361	0.43	0.559	0.213	2.045	-0.125	0.059	0.831	-0.522	0.109	2.993	-0.801	0.846
10765	0.184	-2.273	-2.901	-0.386	-1.854	-3.129	0.134	-2.424	-0.572	0.731	-0.517	-1.142	1.687	2.724	-1.591	-0.981	-1.189	0.516	1.177	0.036	2.255	-1.257	2.635	-1.049	0.325	-0.747	2.117	0.383	-2.383	0.202	-0.43	-1.449	-1.766	1.406	-0.516	1.44	0.337	-0.51	-0.242	-0.091	-1.829	1.132	2.037	-2.277	1.401	-0.087	0.827	0.766	3.833	3.445	1.271	1.098
7169	6.705	5.941	5.337	0.753	-0.159	0.31	1.611	4.733	4.329	-0.163	-0.544	-0.724	-0.642	-0.548	-0.306	-0.264	3.841	3.724	-0.12	-0.705	-0.033	2.787	-0.881	-0.186	2.83	6.643	-0.048	-0.586	-0.567	5.945	0.314	3.334	-0.19	-0.3	-0.146	-0.669	-0.621	-0.043	-0.555	2.659	0.09	-0.389	1.662	3.745	-0.631	2.204	-0.697	-0.956	-0.318	-0.217	0.154	-1.006
92342	-0.511	-0.31	-1.341	-0.369	-0.417	-1.511	-0.207	-0.601	-2.328	-0.018	0.395	-0.127	0.956	1.405	0.031	0.198	-0.518	1.337	-0.578	0.566	1.179	-0.223	-0.04	-0.28	-0.479	0.219	1.002	1.474	-0.048	0.609	0.372	0.287	0.065	0.069	-0.438	0.975	-1.517	-0.603	-0.004	1.225	-0.152	-0.783	0.353	-0.765	-0.868	-0.607	0.834	-0.131	-0.491	0.111	0.956	0.326
55686	-4.061	-3.388	-3.306	-1.921	-2.158	1.509	-2.689	-3.545	-3.916	1.1	1.338	0.204	1.29	1.49	0.374	0.686	-1.858	-0.137	-3.748	1.884	-1.02	-2.948	-3.433	1.768	1.49	-0.052	-0.755	-0.829	-1.592	-1.506	1.059	-1.042	3.369	4.652	2.225	1.775	2.765	2.012	1.545	-0.316	0.129	1.467	0.888	-0.371	-2.998	-0.383	1.423	0.623	2.598	-1.221	1.006	-0.619
10053	-3.15	-3.472	-2.297	-2.878	1.248	-2.333	0.791	-1.567	-2.406	0.525	-0.053	-0.626	0.718	-0.155	1.274	-0.126	-2.868	0.558	1.014	-0.392	0.851	0.25	0.062	0.082	-0.435	-0.301	1.009	-0.117	-1.337	1.932	-0.194	0.216	-0.014	1.062	0.577	0.907	-0.448	-0.467	0.344	2.08	0.149	-0.057	-1.963	0.24	-0.209	0.577	-0.53	0.303	0.297	-0.169	-0.192	-0.124
2523	-0.547	-0.063	-0.973	-0.778	-0.152	-1.709	-1.955	-0.418	-0.922	0.05	0.448	0.597	0.418	0.881	0.413	1.01	-0.85	0.027	0.627	-0.434	-0.457	2.244	-0.193	0.627	0.374	-0.297	0.722	-0.177	-0.448	-0.718	0.503	-0.58	2.388	0.905	0.876	0.532	0.254	-0.831	-0.465	0.363	0.969	-0.039	1.294	0.117	0.844	-0.281	-0.126	-0.449	-0.067	-0.945	-0.517	0.839
8991	-5.091	-3.346	-3.525	-4.039	-2.762	-3.164	-3.484	-3.655	-3.481	2.223	3.92	-2.593	0.04	2.817	2.914	-0.08	-2.564	0.948	3.178	1.407	1.695	2.157	-0.257	0.517	-4.397	-1.529	-0.819	-1.099	-3.33	2.208	1.277	-4.917	-3.971	-0.175	-0.5	0.226	0.355	0.349	3.367	-1.745	3.863	2.909	2.063	-4.916	1.469	0.337	1.321	-0.994	0.71	3.816	3.24	0.807
79709	0.744	1.694	0.478	0.308	-0.176	0.499	0.721	0.791	0.34	-0.093	0.798	0.553	-0.518	-1.163	-0.21	0.019	-0.627	0.495	-0.066	-0.898	-0.489	0.405	0.047	0.524	-0.016	0.161	-0.202	0.033	0.114	0.646	-1.518	0.67	-0.272	-1.091	-0.892	-0.098	-1.597	-1.634	-1.259	0.4	0.424	-1.922	-1.326	0.29	-0.286	-0.401	-1.397	-0.964	-0.828	-0.997	-0.922	0.083
4015	5.586	0.632	4.478	0.149	0.162	1.855	0.743	-0.093	7.883	-0.232	-0.586	-0.598	0.083	-0.6	-0.346	-0.124	0.563	-0.303	0.137	-0.548	0.71	1.252	0.424	-0.683	0.879	4.263	-0.168	-0.112	-0.347	1.144	-0.4	0.083	-0.067	-0.063	-0.433	-0.838	-0.678	-0.08	-0.571	-0.554	-0.43	-0.178	-0.245	0.895	-0.628	0.196	-0.536	-0.133	-0.712	0.184	-0.04	-0.771
9639	3.038	0.26	1.011	0.09	1.399	0.393	1.949	1.043	3.018	1.698	-1.613	-0.263	-0.314	0.055	-0.116	-1.324	-0.568	-1.014	-0.854	-0.073	0.35	-0.039	0.532	-0.959	1.302	0.294	0.101	-0.592	-0.176	-0.14	-0.078	-0.605	-0.995	-0.83	-1.014	0.341	-0.123	0.191	-0.835	-0.074	-1.638	-0.352	0.026	0.53	0.715	-0.164	-0.132	-0.279	-2.025	-0.331	-0.313	2.056
10530	0.659	1.37	0.431	2.022	-0.225	0.155	-0.099	1.06	1.169	-0.175	-0.269	-0.114	0.172	-0.323	-0.065	0.266	0.43	-0.363	0.54	-0.441	-0.335	0.066	-0.124	0.259	-0.393	0.219	-0.354	-0.303	-0.124	-0.112	-0.018	-0.162	-0.049	-0.272	0.045	0.002	-0.227	-0.001	-0.148	0.025	0.05	0.231	-0.076	-0.277	-0.214	-0.224	-0.6	-0.089	-0.271	0.046	0.33	-0.42
