# Benjamin Haibe-Kains. All rights reserved.
# modelname: EEI
# mean.1: -0.786424 -0.699885
# mean.2: 0.0259983 0.736014
# mean.3: 0.539605 -0.509828
# sigma: 0.0742857 0.0543618
# pro: 0.299419 0.139535 0.561047
# scale: 0.0635476
# shape: 1.16898 0.855449
# cutoff.AURKA: -0.202763
"module","probe","EntrezGene.ID","coefficient"
"","204198_s_at","864","-16.0758"
"","213651_at","27124","16.0378"
"","","",""
"ERBB2","216836_s_at","2064","Inf"
"","210761_s_at","2886","43.352"
"","202991_at","10948","35.0519"
"","221811_at","93210","34.1108"
"","201388_at","5709","30.5271"
"","213043_s_at","9862","26.1964"
"","206793_at","5409","23.9089"
"","219233_s_at","55876","22.6833"
"","205766_at","8557","21.7784"
"","203496_s_at","5469","20.5129"
"","219226_at","51755","20.2619"
"","201400_at","5691","19.9335"
"","200618_at","3927","19.3189"
"","214239_x_at","7703","17.3048"
"","214203_s_at","5625","16.9161"
"","218313_s_at","51809","16.0586"
"","208083_s_at","3694","16.012"
"","","",""
"AURKA","208079_s_at","6790","Inf"
"","202954_at","11065","40.7448"
"","222077_s_at","29127","35.4787"
"","203764_at","9787","35.4342"
"","210052_s_at","22974","35.1405"
"","215509_s_at","699","34.5271"
"","202705_at","9133","34.3281"
"","204962_s_at","1058","34.1303"
"","203554_x_at","9232","33.9524"
"","204825_at","9833","32.8711"
"","207828_s_at","1063","32.3918"
"","202095_s_at","332","32.2669"
"","204641_at","4751","32.1877"
"","202580_x_at","2305","31.8211"
"","218755_at","10112","31.7993"
"","218009_s_at","9055","31.6631"
"","209408_at","11004","31.3946"
"","204170_s_at","1164","31.1861"
"","218726_at","55355","30.8784"
"","201291_s_at","7153","30.4793"
"","204026_s_at","11130","30.2683"
"","203362_s_at","4085","30.195"
"","204033_at","9319","29.9422"
"","204817_at","9700","29.93"
"","203214_x_at","983","29.7946"
"","209773_s_at","6241","29.7129"
"","221520_s_at","55143","29.4352"
"","205046_at","1062","29.4195"
"","201710_at","4605","29.3717"
"","203358_s_at","2146","29.3561"
"","214710_s_at","891","29.2514"
"","204822_at","7272","29.1271"
