Search_Key,ILMN_Gene,Accession,Symbol,Probe_Id,Array_Address_Id,nuID,weights
ILMN_138363,COL6A1,NM_001848.2,COL6A1,ILMN_1732151,4560750,NZKpnp5HQhXYjwa5wU,-0.2180425514
ILMN_1032,COL6A3,NM_057165.2,COL6A3,ILMN_1706643,1580368,Zl7s26IBCIUH.09XlU,-0.0042411953
ILMN_10408,COL8A1,NM_001850.3,COL8A1,ILMN_1685433,870307,iiFq711I5XSBKeSh7M,-0.2836344565
ILMN_6548,COLEC11,NM_024027.3,COLEC11,ILMN_1735192,6060431,6ie1d7gq6KdHiyKnvs,0.3275846485
ILMN_15049,COMP,NM_000095.2,COMP,ILMN_1677636,1440722,uIoc4hU0nmkJcqFKuI,0.3237201566
ILMN_7921,CRISPLD2,NM_031476.1,CRISPLD2,ILMN_1790689,6060224,3Gm9endeVEo4E.2n18,-0.2396330331
ILMN_7282,CTHRC1,NM_138455.2,CTHRC1,ILMN_1725090,4570364,uKH_4KD656PLo75zeo,-0.2459172034
ILMN_17166,CXCL1,NM_001511.1,CXCL1,ILMN_1787897,6130576,0p6aNQkDpQ4jT7gpKo,0.18064526
ILMN_6004,CXCL12,NM_001033886.1,CXCL12,ILMN_1689111,2350482,0SXicSOVOWPfYCU75Q,-0.2372764597
ILMN_9299,D4S234E,NM_014392.2,D4S234E,ILMN_1772627,2600215,B_mSa7k0im7niCrrvA,-0.0547898618
ILMN_27825,DCN,NM_133503.2,DCN,ILMN_1768227,3400682,rn_okiCKiAkk35ejiU,-0.2377031174
ILMN_1179,DCN,NM_133507.2,DCN,ILMN_1666672,6980296,rSU1F9I7txuZ3lPQdo,-0.35714812
ILMN_13065,DLK1,NM_003836.4,DLK1,ILMN_1797519,1740368,W5iF6u1BeZxBROeaCA,0.1771395489
ILMN_13065,DLK1,NM_003836.4,DLK1,ILMN_1652975,2640025,K5CVi9ErdF7tCCZmeI,0.1601932883
ILMN_11097,DUSP4,NM_001394.5,DUSP4,ILMN_1734387,2470471,6fi.vlHiCSmr6uoooI,-0.2633487318
ILMN_8606,EDNRA,NM_001957.1,EDNRA,ILMN_1796629,2480142,cB.sgOJSCUKV4vpLpU,-0.4560149242
ILMN_27171,EGLN3,NM_022073.2,EGLN3,ILMN_1667626,5310192,rkEx3SRcAy5agTLCp0,0.0097634136
ILMN_17018,ESR2,NM_001437.1,ESR2,ILMN_1740045,360369,ov6uPlCJpN11SSQ1OY,0.5561802556
ILMN_14995,FAP,NM_004460.2,FAP,ILMN_1741468,6840739,ueFIFGnzWl7UYFHzEU,-0.30371416
ILMN_27273,FBLN1,NM_001996.2,FBLN1,ILMN_1722713,5050452,0W6n1p3e6OkrTuCE0M,0.1504118367
ILMN_12209,FBLN1,NM_006486.2,FBLN1,ILMN_1672536,6660246,Z0Uqg6eo.dpHeTTU38,-0.1979553747
ILMN_6449,FBLN2,NM_001004019.1,FBLN2,ILMN_1774602,2120243,0Tvqnfodd6OFbVQL4Q,0.013614114
ILMN_6391,FLNC,NM_001458.3,FLNC,ILMN_1715748,2370672,6SeonnyugB1AwLmntk,-0.1341238743
ILMN_4516,FN1,NM_054034.2,FN1,ILMN_1778237,4200167,ikroLuNW2FDlKPSIeo,-0.1376345712
ILMN_28757,GATA4,NM_002052.2,GATA4,ILMN_1749866,5550563,NUClV2zFdXBUQF7wT4,-0.0253239483
ILMN_7613,GFPT2,NM_005110.1,GFPT2,ILMN_1655236,5420053,Z0ad.8JXpJP_tXnX5U,-0.5536940993
ILMN_26343,GJB2,NM_004004.4,GJB2,ILMN_1769388,6330242,cjif7cfQC.v58VfSXU,-0.2008612441
ILMN_2416,GMPR,NM_006877.2,GMPR,ILMN_1729487,5910129,BFu9JwV6oQJJt6di6A,0.4542429444
ILMN_19956,GREB1,NM_148903.1,GREB1,ILMN_1715984,2060681,6S66XeiBS7e9eEH54A,0.1535237188
ILMN_20319,GREB1,NM_014668.3,GREB1,ILMN_1721170,2640681,6X3VH5cV0OUR7.4LpU,0.1699422272
ILMN_30352,HAK,NM_052947.2,HAK,ILMN_1811238,5720500,iUeu3DGc__Wiur3uG4,-0.1345839584
ILMN_26763,HLA-DQB2,NM_182549.1,HLA-DQB2,ILMN_1741648,870687,fqTd79T3VVEhe0Igk4,-0.1057937085
ILMN_14915,IER3,NM_003897.3,IER3,ILMN_1682717,1440326,uihtWnqOC3rrq2wvyg,-0.0381162849
ILMN_6497,ITGA5,NM_002205.2,ITGA5,ILMN_1792679,4180398,ulQV9XRfpFIRUofPwE,-0.3675290479
