# Benjamin Haibe-Kains. All rights reserved.
# model.name: EEI
# mean.1: -0.673211 -0.73176
# mean.2: 0.0205898 0.695856
# mean.3: 0.472702 -0.325296
# sigma: 0.105157 0.0723926
# pro: 0.271955 0.13881 0.589235
# scale: 0.0872499
# shape: 1.20523 0.829715
# gaussian.AURKA.mean: -0.243212
# gaussian.AURKA.sigma: 0.229011
# rescale.q: 0.05
"module","probe","EntrezGene.ID","coefficient"
"","205614_x_at","4485","0.357450422"
"","209418_s_at","8563","-0.357245363"
"","201951_at","214","0.357195699"
"","36830_at","4285","0.356463366"
"","206935_at","5100","-0.355195666"
"","220658_s_at","56938","-0.354426834"
"","219156_at","55333","0.354152982"
"","200825_s_at","10525","-0.353899171"
"","204125_at","51103","0.353122452"
"","204086_at","23532","-0.351891883"
"","205485_at","6261","-0.350828555"
"","205710_at","4036","0.350254766"
"","205509_at","1360","0.346493776"
"","203108_at","9052","0.346433922"
"","214324_at","2813","0.346238895"
"","204650_s_at","10307","0.346101202"
"","201516_at","6723","-0.345786203"
"","220775_s_at","55293","0.344688842"
"","206999_at","3595","-0.344678943"
"","208056_s_at","863","0.344392794"
"","206693_at","3574","-0.343890767"
"","207254_at","6564","-0.343183471"
"","219446_at","55188","0.342486332"
"","203397_s_at","2591","-0.342421723"
"","203686_at","4350","0.341676941"
"","210021_s_at","10309","0.340406908"
"","209576_at","2770","-0.340211122"
"","205432_at","5016","0.340204667"
"","214519_s_at","6019","0.340131262"
"","204632_at","8986","-0.338104769"
"","204711_at","9851","0.33776741"
"","219821_s_at","54438","-0.337758297"
"","218963_s_at","25984","-0.337728711"
"","220432_s_at","51302","-0.33695618"
"","207332_s_at","7037","-0.336533681"
"","212724_at","390","-0.335330467"
"","209531_at","2954","0.334740431"
"","221951_at","283232","0.334733545"
"","203706_s_at","8324","-0.33206439"
"","213201_s_at","7138","0.331611482"
"","204916_at","10267","0.331220193"
"","205014_at","9982","-0.330162678"
"","218307_at","55316","0.329901495"
"","202965_s_at","827","-0.328961335"
"","212062_at","10079","0.328282857"
"","204437_s_at","2348","-0.327278348"
"","219112_at","51735","0.326267887"
"","202357_s_at","629","0.325947876"
"","205358_at","2891","0.325402619"
"","206612_at","786","0.325288477"
"","205334_at","6271","-0.325195431"
"","213457_at","9258","-0.324471403"
"","205807_s_at","7286","0.324287679"
"","205896_at","6583","0.323184257"
"","201953_at","10519","0.318187791"
"","222162_s_at","9510","-0.317140809"
"","204602_at","22943","-0.317077666"
"","209631_s_at","2861","-0.315629416"
"","218332_at","55859","0.315589822"
"","212825_at","22976","0.314975901"
"","218445_at","55506","-0.314880763"
"","218493_at","79622","0.313083514"
"","217728_at","6277","-0.311274464"
"","218706_s_at","65983","-0.310705931"
"","203892_at","10406","0.310318913"
"","218409_s_at","64215","0.309391077"
"","204577_s_at","23059","0.308081913"
"","204880_at","4255","0.306014355"
"","204512_at","3096","-0.30420168"
"","218123_at","56683","0.30298336"
"","207037_at","8792","-0.301523491"
"","209049_s_at","23613","0.299807266"
"","217973_at","51181","0.299804251"
"","218900_at","26504","0.299283579"
"","209291_at","3400","-0.299017294"
"","204971_at","1475","-0.296296539"
"","219963_at","51207","0.295957672"
"","213262_at","26278","-0.29589301"
"","205555_s_at","4488","0.295463635"
"","218740_s_at","80279","0.295086243"
"","201346_at","79602","0.294636455"
"","205375_at","4188","-0.294622629"
"","203917_at","1525","-0.293993475"
"","219529_at","9022","-0.293423313"
"","201631_s_at","8870","0.293240479"
"","217935_s_at","55245","0.292257279"
"","214913_at","9508","-0.291951865"
"","207300_s_at","2155","0.291791149"
"","219587_at","54970","0.291552597"
"","219603_s_at","7769","0.291518083"
"","202586_at","5441","0.290705454"
"","205981_s_at","3622","0.290622475"
"","207142_at","3760","0.289824264"
"","204432_at","6666","0.288976299"
"","204242_s_at","8310","0.287582101"
"","212704_at","23318","-0.287446901"
"","220308_at","25790","0.286351098"
"","212543_at","202","-0.282506287"
"","218414_s_at","54820","0.282080137"
"","205271_s_at","23552","0.281880641"
"","218704_at","54894","0.280441269"
"","211685_s_at","83988","-0.278634535"
"","219944_at","79745","-0.278362218"
"","206457_s_at","1733","0.277146054"
"","209457_at","1847","0.277032448"
"","203739_at","7764","0.276000692"
"","209177_at","25915","0.275728009"
"","205243_at","64849","-0.273794546"
"","209618_at","1501","0.273276047"
"","206261_at","8187","0.273064581"
"","209799_at","5562","-0.272482663"
"","220013_at","79852","-0.270783935"
"","208927_at","8405","0.270754072"
"","205056_s_at","27239","0.267327121"
"","218038_at","55101","0.266549718"
"","209453_at","6548","0.266541892"
"","206634_at","6496","-0.264582596"
"","204469_at","5803","-0.264459175"
"","201691_s_at","7163","0.263461652"
"","203787_at","23635","0.261272248"
"","200610_s_at","4691","-0.259481094"
"","218511_s_at","55163","0.255506984"
"","205311_at","1644","-0.255399817"
"","205531_s_at","27165","0.254837341"
"","206953_s_at","23266","-0.252950367"
"","219049_at","55790","-0.250426136"
"","218630_at","54903","0.248040673"
"","205190_at","5357","0.247326218"
"","203590_at","1783","-0.246224506"
"","219009_at","60686","0.24607044"
"","221047_s_at","4139","-0.244759366"
"","203978_at","4682","0.244519893"
"","203986_at","8987","0.243504322"
"","215332_s_at","926","-0.24348476"
"","218237_s_at","81539","0.241702504"
"","204856_at","10331","-0.240638829"
"","221859_at","57586","0.239472393"
"","203408_s_at","6304","-0.235715141"
"","213424_at","23366","0.234295176"
"","221056_x_at","58513","0.233246267"
"","209774_x_at","2920","-0.23251798"
"","206335_at","2588","-0.232432334"
"","220225_at","50805","-0.232248348"
"","217900_at","55699","0.230870685"
"","219433_at","54880","0.229605443"
"","215153_at","9722","0.229340894"
"","205336_at","5816","0.227358785"
"","207177_at","5737","-0.2231448"
"","220311_at","29104","0.222484457"
"","209948_at","3779","-0.215645094"
"","219609_at","79446","0.208642099"
"","207123_s_at","8785","-0.208228838"
"","218742_at","64428","0.203857245"
"","218089_at","25980","0.203116625"
"","204042_at","10810","-0.182155673"
"","","",""
"ERBB2","216836_s_at","2064","1"
"","221811_at","93210","0.907758645"
"","201388_at","5709","0.679856111"
"","206793_at","5409","0.65236504"
"","219233_s_at","55876","0.551201489"
"","207842_s_at","22794","0.475868476"
"","200618_at","3927","0.465455223"
"","212051_at","147179","0.438708817"
"","220318_at","55040","0.402128957"
"","200659_s_at","5245","0.397536834"
"","217528_at","9635","0.36055161"
"","218556_at","29095","0.349298325"
"","203911_at","5909","0.337350258"
"","219468_s_at","404093","0.320633179"
"","206745_at","3227","0.312754199"
"","205073_at","1573","0.309379585"
"","205221_at","3081","0.302330606"
"","201200_at","8804","-0.29666354"
"","214797_s_at","5129","-0.294702589"
"","215465_at","26154","0.292060066"
"","206043_s_at","9914","0.291958436"
"","218823_s_at","54793","-0.285724776"
"","201474_s_at","3675","0.274007124"
"","201884_at","1048","0.25663632"
"","218910_at","55129","0.256032493"
"","219522_at","24147","-0.252235137"
"","204760_s_at","9572","0.244126274"
"","205573_s_at","51375","-0.234064097"
"","","",""
"AURKA","208079_s_at","6790","1"
"","202954_at","11065","0.820863855"
"","202705_at","9133","0.79214599"
"","204962_s_at","1058","0.786068713"
"","202095_s_at","332","0.785737371"
"","209408_at","11004","0.776738323"
"","218755_at","10112","0.7580889"
"","214710_s_at","891","0.749756817"
"","210052_s_at","22974","0.748568487"
"","202580_x_at","2305","0.743383899"
"","202870_s_at","991","0.743241214"
"","212949_at","23397","0.72007551"
"","204641_at","4751","0.718457153"
"","218355_at","24137","0.710510621"
"","204033_at","9319","0.710205816"
"","204267_x_at","9088","0.702883844"
"","203362_s_at","4085","0.695603942"
"","221591_s_at","54478","0.685128928"
"","205339_at","6491","0.679351067"
"","204603_at","9156","0.673978083"
"","203145_at","10615","0.670442201"
"","219555_s_at","55839","0.665830165"
"","209773_s_at","6241","0.663496582"
"","202589_at","7298","0.65945932"
"","205733_at","641","0.649401343"
"","202338_at","7083","0.643196792"
"","202107_s_at","4171","0.635855115"
"","218883_s_at","79682","0.624317967"
"","204170_s_at","1164","0.614902417"
"","204072_s_at","10129","-0.59404899"
"","200783_s_at","3925","0.589613162"
"","219493_at","79801","0.585901802"
"","221521_s_at","51659","0.582355702"
"","203022_at","10535","0.580753923"
"","205436_s_at","3014","0.579987829"
"","209714_s_at","1033","0.575815638"
"","204023_at","5984","0.575746351"
"","220651_s_at","55388","0.572262092"
"","201584_s_at","10212","0.568291258"
"","212294_at","55970","-0.56373935"
"","203046_s_at","8914","0.559966788"
"","218586_at","55257","0.553371639"
"","201897_s_at","1163","0.545468556"
"","212494_at","23371","-0.540338428"
"","204510_at","8317","0.522596999"
"","215942_s_at","51512","0.522293944"
"","207469_s_at","8544","0.51732303"
"","208029_s_at","55353","0.510974612"
"","200795_at","8404","-0.508445481"
"","219650_at","54821","0.506228567"
"","204051_s_at","6424","-0.503981562"
"","203967_at","990","0.503962062"
"","209747_at","7043","-0.501014607"
"","202709_at","2331","-0.49793008"
"","216952_s_at","84823","0.492907473"
"","219580_s_at","79838","-0.489221399"
"","217844_at","58190","-0.487068931"
"","212936_at","83989","-0.486767063"
"","203560_at","8836","0.484685676"
"","203187_at","1793","-0.483372924"
"","218901_at","57088","-0.482651"
"","201281_at","11047","0.481127919"
"","213103_at","90627","-0.480804487"
"","209899_s_at","22827","0.477068606"
